,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Closed Cases
World,,"28,026,967","908,002","20,104,939","7,014,026","21,012,941"
0,USA,6549475.0,195239.0,3846095.0,2508141.0,4041334.0
1,India,4465863.0,75091.0,3471783.0,918989.0,3546874.0
2,Brazil,4199332.0,128653.0,3453336.0,617343.0,3581989.0
3,Russia,1041007.0,18135.0,856458.0,166414.0,874593.0
4,Peru,702776.0,30236.0,536959.0,135581.0,567195.0
5,Colombia,686856.0,22053.0,552885.0,111918.0,574938.0
6,Mexico,647507.0,69095.0,454982.0,123430.0,524077.0
7,South Africa,642431.0,15168.0,569935.0,57328.0,585103.0
8,Spain,543379.0,29628.0,0.0,0.0,543379.0
9,Argentina,512293.0,10658.0,382490.0,119145.0,393148.0
10,Chile,427027.0,11702.0,399555.0,15770.0,411257.0
11,Iran,393425.0,22669.0,339111.0,31645.0,361780.0
12,UK,355219.0,41594.0,0.0,0.0,355219.0
13,France,344101.0,30794.0,88524.0,224783.0,119318.0
14,Bangladesh,331078.0,4593.0,230804.0,95681.0,235397.0
15,Saudi Arabia,323012.0,4165.0,298966.0,19881.0,303131.0
16,Pakistan,299855.0,6365.0,287950.0,5540.0,294315.0
17,Turkey,284943.0,6837.0,254188.0,23918.0,261025.0
18,Italy,281583.0,35577.0,211272.0,34734.0,246849.0
19,Iraq,273821.0,7732.0,209993.0,56096.0,217725.0
20,Germany,256349.0,9410.0,231900.0,15039.0,241310.0
21,Philippines,245143.0,3986.0,185543.0,55614.0,189529.0
22,Indonesia,203342.0,8336.0,145200.0,49806.0,153536.0
23,Ukraine,143030.0,2979.0,64703.0,75348.0,67682.0
24,Israel,142582.0,1054.0,109757.0,31771.0,110811.0
25,Canada,134294.0,9155.0,118271.0,6868.0,127426.0
26,Bolivia,123345.0,7146.0,77216.0,38983.0,84362.0
27,Qatar,120846.0,205.0,117746.0,2895.0,117951.0
28,Ecuador,112166.0,10701.0,91242.0,10223.0,101943.0
29,Kazakhstan,106584.0,1634.0,100248.0,4702.0,101882.0
30,Dominican Republic,100937.0,1914.0,74305.0,24718.0,76219.0
31,Egypt,100403.0,5577.0,80689.0,14137.0,86266.0
32,Panama,99042.0,2116.0,71419.0,25507.0,73535.0
33,Romania,98304.0,4018.0,41002.0,53284.0,45020.0
34,Kuwait,92082.0,552.0,82222.0,9308.0,82774.0
35,Belgium,89691.0,9917.0,18635.0,61139.0,28552.0
36,Oman,87939.0,751.0,83115.0,4073.0,83866.0
37,Sweden,85880.0,5842.0,0.0,0.0,85880.0
38,China,85153.0,4634.0,80358.0,161.0,84992.0
39,Guatemala,79622.0,2897.0,68308.0,8417.0,71205.0
40,Morocco,77878.0,1453.0,59723.0,16702.0,61176.0
41,Netherlands,77688.0,6246.0,0.0,0.0,77688.0
42,UAE,75981.0,393.0,67359.0,8229.0,67752.0
43,Belarus,73402.0,726.0,71999.0,677.0,72725.0
44,Japan,72726.0,1393.0,64100.0,7233.0,65493.0
45,Poland,71947.0,2147.0,57135.0,12665.0,59282.0
46,Honduras,65597.0,2044.0,15064.0,48489.0,17108.0
47,Ethiopia,61700.0,966.0,23054.0,37680.0,24020.0
48,Portugal,61541.0,1849.0,43284.0,16408.0,45133.0
49,Bahrain,57450.0,203.0,51819.0,5428.0,52022.0
50,Singapore,57166.0,27.0,56492.0,647.0,56519.0
51,Venezuela,56751.0,452.0,45318.0,10981.0,45770.0
52,Nigeria,55632.0,1070.0,43610.0,10952.0,44680.0
53,Costa Rica,51224.0,543.0,19544.0,31137.0,20087.0
54,Nepal,49219.0,312.0,33882.0,15025.0,34194.0
55,Algeria,47216.0,1581.0,33379.0,12256.0,34960.0
56,Ghana,45313.0,283.0,44188.0,842.0,44471.0
57,Switzerland,45306.0,2019.0,38100.0,5187.0,40119.0
58,Uzbekistan,45160.0,368.0,42212.0,2580.0,42580.0
59,Armenia,45152.0,905.0,41023.0,3224.0,41928.0
60,Kyrgyzstan,44684.0,1061.0,40487.0,3136.0,41548.0
61,Moldova,41144.0,1096.0,28962.0,11086.0,30058.0
62,Afghanistan,38544.0,1420.0,31048.0,6076.0,32468.0
63,Azerbaijan,37732.0,555.0,35119.0,2058.0,35674.0
64,Kenya,35460.0,607.0,21557.0,13296.0,22164.0
65,Serbia,32078.0,728.0,30780.0,570.0,31508.0
66,Czechia,31036.0,444.0,20374.0,10218.0,20818.0
67,Austria,30583.0,747.0,25764.0,4072.0,26511.0
68,Ireland,30164.0,1781.0,23364.0,5019.0,25145.0
69,Palestine,27919.0,192.0,18466.0,9261.0,18658.0
70,El Salvador,26602.0,770.0,16786.0,9046.0,17556.0
71,Australia,26512.0,788.0,22863.0,2861.0,23651.0
